HQS率-,SQS率-,被打率.238,被BABIP.319,被出塁率.286,被長打率.321,K/BB4.46,K/99.85,BB/92.21,HR/90.51,GO/AO0.67,援護率-,IPR3.12,NHB%40.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.00,77.1%,2.24,0.26,0.50,609,8.0,0,0,53.0,17,22,46,
