NOI340.4,GPA.180,RC3.95,RC272.22,XR4.19,XR272.36,RCAA-2.35,XR+-2.19,RCWIN-0.27,XRWIN-0.25,BABIP.204
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.064,16.00,7.11,0.085,59.00,0.153,0.438,0.00,21.9%,
