球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,192,50.4%,147.5,31,18,57,54,55.2%,25.8%,0.125,48,6,0,19,1,2
スライダー,37,9.7%,127.4,5,4,6,12,40.5%,23.8%,0.333,12,4,0,3,0,0
フォーク,36,9.4%,138.2,1,3,14,8,50.0%,4.0%,0.1,10,1,0,0,0,0
チェンジアップ,35,9.2%,131.9,8,2,7,12,48.6%,38.1%,0.375,8,3,0,3,1,0
カットボール,28,7.3%,138.7,9,5,4,4,64.3%,47.4%,0.286,7,2,0,1,1,0
カーブ,22,5.8%,119.5,4,2,2,12,36.4%,50.0%,0.333,3,1,0,1,0,1
スプリット,8,2.1%,139.7,4,0,1,1,62.5%,57.1%,0.0,4,0,0,2,0,0
ツーシーム,8,2.1%,142.4,2,2,0,3,50.0%,66.7%,1.0,1,1,0,0,0,1
ナックルカーブ,5,1.3%,124.2,2,1,0,2,60.0%,100.0%,0.0,1,0,0,1,0,0
シンカー,5,1.3%,132.0,0,1,1,2,40.0%,0.0%,0.0,1,0,0,0,0,0
シュート,4,1.0%,138.0,0,0,1,1,25.0%,0.0%,0.5,2,1,0,0,0,0
縦スライダー,1,0.3%,130.0,0,1,0,0,100.0%,-%,0.0,1,0,0,1,0,0
