NOI322.4,GPA.168,RC4.98,RC271.58,XR5.19,XR271.65,RCAA-5.85,XR+-5.76,RCWIN-0.68,XRWIN-0.67,BABIP.284
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.10,0.054,36.67,3.55,0.031,-,0.071,0.375,0.00,30.9%,
