左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
41.7% (60),41.7% (60),41.7% (60),27.1% (39),27.1% (39),27.1% (39),31.3% (45),31.3% (45),31.3% (45)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
40.4% (19),- (0),42.3% (41),40.4% (19),- (0),20.6% (20),19.1% (9),- (0),37.1% (36)
