打率.264,試合87,打席202,打数178,得点14,安打47,内安6,内安率12.8,２Ｂ2,３Ｂ0,本塁0,HR勝敗0,塁打49,打点13,三振33
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
12,0,3,8,1,9,3,75.0,4,0,4,.383,.320,.275,.595
