NOI411.3,GPA.213,RC16.67,RC273.06,XR16.86,XR273.10,RCAA-3.21,XR+-3.26,RCWIN-0.37,XRWIN-0.38,BABIP.322
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.36,0.056,16.83,6.12,0.011,-,0.112,0.507,0.00,22.3%,
