HQS率0.0%,SQS率0.0%,被打率.255,被BABIP.286,被出塁率.340,被長打率.426,K/BB1.67,K/97.30,BB/94.38,HR/91.46,GO/AO0.56,援護率1.50,IPR3.50,NHB%42.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.68,72.4%,-2.42,-0.28,-2.83,87,1.0,6,1,7.0,2,3,5,
