チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,1.93,4,0,4,0,0,0,0,0,0,0,0,4.2,4,0,5,2,0,1,1,1.29,0.235,-,4.67
日本ハム,13.50,2,0,2,0,0,0,0,0,0,0,0,3.1,6,1,3,3,0,5,5,2.7,0.4,-,0.67
ロッテ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
オリックス,8.10,3,0,3,1,0,0,0,1,1,1,0,3.1,4,0,1,2,2,3,3,1.8,0.308,-,1.11
西武,67.50,1,0,1,0,0,0,0,0,0,0,0,0.2,4,0,0,1,1,5,5,7.5,0.8,-,0.13
