HQS率-,SQS率-,被打率.308,被BABIP.333,被出塁率.379,被長打率.404,K/BB1.00,K/94.38,BB/94.38,HR/90.73,GO/AO0.93,援護率-,IPR1.37,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.28,63.1%,-4.42,-0.51,-4.83,77,3.1,0,0,12.1,9,5,11,
