NOI115.9,GPA.061,RC-1.48,RC27-1.82,XR-1.32,XR27-1.62,RCAA-3.74,XR+-3.61,RCWIN-0.43,XRWIN-0.42,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,3.29,-0.000,-,0.000,0.091,-,30.4%,
