左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
43.8% (7),43.8% (7),43.8% (7),12.5% (2),12.5% (2),12.5% (2),43.8% (7),43.8% (7),43.8% (7)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),50.0% (7),50.0% (1),- (0),7.1% (1),50.0% (1),- (0),42.9% (6)
