条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,1,0,4,1,0,3,2,0,0,0,0,0,11
敗戦,9,5,12,6,2,0,0,0,0,0,0,0,34
勝敗無,3,3,2,0,2,0,0,0,0,0,0,0,10
