HQS率0.0%,SQS率0.0%,被打率.357,被BABIP.411,被出塁率.425,被長打率.529,K/BB2.17,K/97.16,BB/93.31,HR/91.10,GO/AO0.78,援護率5.50,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.24,73.7%,-5.07,-0.60,-4.61,59,0.0,18,11,0.0,0,0,0,
