NOI397.5,GPA.210,RC13.37,RC272.78,XR13.34,XR272.77,RCAA-3.86,XR+-4.09,RCWIN-0.45,XRWIN-0.47,BABIP.295
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.054,17.50,5.15,0.070,79.00,0.133,0.488,0.00,26.3%,
