HQS率40.9%,SQS率50.0%,被打率.236,被BABIP.321,被出塁率.281,被長打率.306,K/BB5.50,K/99.88,BB/91.80,HR/90.36,GO/AO1.22,援護率4.10,IPR2.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.78,80.0%,14.87,1.72,10.77,521,2.0,158,72,2.0,1,0,0,
