球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,1094,45.5%,146.0,53,308,236,305,54.6%,11.0%,0.248,246,61,2,57,19,4
スライダー,749,31.2%,128.8,168,101,133,227,53.7%,39.9%,0.215,186,40,2,69,9,1
フォーク,281,11.7%,136.0,51,14,39,131,37.0%,37.5%,0.197,71,14,1,27,0,1
チェンジアップ,167,6.9%,124.2,32,11,24,68,40.1%,36.4%,0.295,44,13,1,12,2,0
スローカーブ,64,2.7%,88.6,3,14,9,22,40.6%,10.7%,0.125,16,2,0,0,0,0
カーブ,33,1.4%,115.2,2,16,3,7,63.6%,20.0%,0.6,5,3,0,0,0,0
ツーシーム,15,0.6%,143.1,0,1,5,6,40.0%,0.0%,0.667,3,2,0,0,0,0
