HQS率0.0%,SQS率0.0%,被打率.231,被BABIP.278,被出塁率.278,被長打率.307,K/BB3.24,K/96.63,BB/92.05,HR/90.33,GO/AO0.84,援護率3.21,IPR4.00,NHB%36.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.45,73.9%,3.93,0.46,8.33,390,5.2,98,35,16.0,4,4,8,
