条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.221,267,253,56,9,2,2,59,12,2,0,0,0.262
1塁,0.244,87,78,19,1,0,1,11,2,0,7,0,0.263
2塁,0.294,22,17,5,1,0,1,2,5,0,0,0,0.455
3塁,0.0,7,6,0,0,0,0,1,1,0,0,0,0.143
1・2塁,0.233,35,30,7,2,1,0,5,3,0,2,0,0.303
1・3塁,0.1,11,10,1,0,0,0,2,1,0,0,0,0.182
2・3塁,0.5,10,8,4,0,0,0,0,1,0,0,1,0.5
満塁,0.333,9,9,3,0,0,0,1,0,0,0,0,0.333
得点圏,0.25,94,80,20,3,1,1,11,11,0,2,1,0.337
