防御率2.29,試合28,先発17,救援11,連投(試)0,連投(日)0,勝利5,敗戦7,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.417,110.0,448,1740,15.8,95,4,81,25,2,2,1,1,36,28,1.09,47.1%
