チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,2.63,4,2,2,0,1,0,0,0,0,0,1,13.2,16,0,9,7,1,4,4,1.68,0.302,2.45,2.67
ＤｅＮＡ,3.97,6,1,5,0,1,1,0,1,0,0,0,11.1,9,3,5,2,0,5,5,0.97,0.214,3.0,3.17
広島,2.17,6,5,1,3,1,0,0,0,0,0,0,29.0,20,0,24,5,1,8,7,0.86,0.189,4.5,99.0
ヤクルト,4.91,2,1,1,0,1,0,0,0,0,0,0,7.1,7,0,3,3,0,4,4,1.36,0.259,1.5,99.0
中日,1.71,7,5,2,1,2,0,0,0,0,0,0,31.2,28,1,23,6,0,10,6,1.07,0.233,2.48,4.0
