球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,732,42.1%,142.4,40,164,134,283,46.2%,14.0%,0.228,149,34,1,41,14,0
カットボール,382,22.0%,136.1,40,64,85,101,49.5%,18.4%,0.222,108,24,1,19,5,0
スライダー,280,16.1%,123.4,34,43,56,86,47.5%,22.5%,0.324,71,23,2,11,3,0
チェンジアップ,134,7.7%,122.2,25,5,25,50,41.0%,31.6%,0.081,37,3,0,8,1,1
ツーシーム,101,5.8%,134.1,7,24,18,27,48.5%,14.0%,0.208,24,5,0,0,0,0
カーブ,65,3.7%,109.3,4,16,9,24,44.6%,16.0%,0.385,13,5,0,1,0,1
フォーク,46,2.6%,126.4,3,3,8,22,30.4%,14.3%,0.111,9,1,0,1,0,0
