0
最終登板
連投状況
9/28
試:0連投中日:0連投中
登録状況
△3/27登録
▼6/23抹消
△7/3登録
▼7/11抹消
△7/21登録
▼8/8抹消
△8/20登録
▼8/29抹消
△9/9登録
▼9/29抹消
△10/15登録
▼10/18抹消
