NOI373.5,GPA.192,RC3.89,RC272.76,XR4.57,XR273.25,RCAA-1.33,XR+-0.71,RCWIN-0.15,XRWIN-0.08,BABIP.182
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.89,0.127,6.63,5.89,0.071,42.00,0.286,0.543,1.00,34.0%,
