守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.167,11,46,42,1,7,0,0,0,7,2,5,0,0,4,0,0,1,0,1,.239,.167,0.406
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,.375,8,35,32,4,12,2,0,1,17,6,4,1,0,2,0,0,0,0,0,.429,.531,0.96
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.156,16,55,45,2,7,0,0,0,7,4,9,6,1,2,1,1,0,0,0,.278,.156,0.433
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,.000,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
途中出場,.306,57,58,49,6,15,1,2,1,23,11,11,6,0,3,0,0,0,0,0,.414,.469,0.883
