球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,333,42.7%,148.3,14,56,61,113,39.3%,8.5%,.255,94,24,1,7,3,2
フォーク,119,15.3%,136.5,18,21,16,51,46.2%,38.3%,.222,18,4,0,5,2,1
スライダー,70,9.0%,130.1,9,21,10,24,57.1%,36.0%,.143,14,2,0,8,1,4
カットボール,59,7.6%,139.9,5,7,11,23,39.0%,17.2%,.214,14,3,0,1,2,2
カーブ,55,7.1%,116.6,2,20,7,21,52.7%,14.3%,.000,7,0,0,2,1,0
チェンジアップ,50,6.4%,132.6,9,13,5,19,54.0%,50.0%,.250,8,2,0,4,0,1
スプリット,27,3.5%,138.2,4,4,4,9,44.4%,28.6%,.250,8,2,0,2,1,0
ツーシーム,26,3.3%,142.6,0,3,6,13,34.6%,0.0%,.500,4,2,1,0,1,1
シンカー,12,1.5%,131.1,0,2,1,6,25.0%,0.0%,.333,3,1,0,0,0,0
縦スライダー,10,1.3%,130.0,1,4,0,4,50.0%,50.0%,1.000,1,1,0,0,0,0
シュート,9,1.2%,143.4,0,4,1,3,55.6%,0.0%,.000,1,0,0,0,1,0
ナックルカーブ,5,0.6%,124.8,0,0,1,4,20.0%,0.0%,-,0,0,0,0,0,0
パワーカーブ,4,0.5%,120.3,0,2,0,2,50.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.1%,141.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
