防御率1.93,試合20,先発0,救援20,連投(試)0,連投(日)0,勝利2,敗戦2,HLD5,Ｓ0,ＨＰ7,ＳＰ2,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,18.2,74,264,14.1,14,1,16,5,0,0,0,0,4,4,1.02,-
