HQS率-,SQS率-,被打率.209,被BABIP.260,被出塁率.264,被長打率.284,K/BB3.20,K/97.71,BB/92.41,HR/90.48,GO/AO2.36,援護率-,IPR4.67,NHB%35.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.56,85.2%,2.78,0.33,2.16,126,2.1,0,0,18.2,4,7,17,
