NOI285.9,GPA.147,RC1.44,RC270.73,XR1.64,XR270.83,RCAA-4.86,XR+-4.74,RCWIN-0.56,XRWIN-0.55,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.057,16.00,7.11,0.019,-,0.111,0.319,0.00,20.3%,
