HQS率14.3%,SQS率14.3%,被打率.250,被BABIP.274,被出塁率.318,被長打率.407,K/BB1.79,K/95.97,BB/93.35,HR/90.96,GO/AO1.03,援護率3.79,IPR2.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.86,69.8%,-5.33,-0.63,-2.56,143,0.2,38,16,2.0,1,0,1,
