HQS率-,SQS率-,被打率.243,被BABIP.272,被出塁率.292,被長打率.369,K/BB2.63,K/96.91,BB/92.63,HR/90.99,GO/AO0.47,援護率-,IPR2.28,NHB%34.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.50,72.9%,-1.84,-0.21,-2.77,102,6.0,0,0,27.1,12,10,23,
