NOI666.7,GPA.350,RC0.46,RC2712.30,XR0.41,XR2711.07,RCAA0.27,XR+0.22,RCWIN0.03,XRWIN0.03,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,1.000,-,0.0%,
