球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,548,83.0%,151.8,64,86,147,166,54.2%,21.6%,0.222,117,26,0,33,10,3
スライダー,82,12.4%,136.1,16,5,12,34,40.2%,37.2%,0.304,23,7,1,8,2,0
カーブ,30,4.5%,129.2,3,3,3,15,30.0%,25.0%,0.125,8,1,0,2,0,0
