アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,30,28.8%,安打,36,67.9%
フライ,32,30.8%,四死球,16,30.2%
空三振,29,27.9%,失策出塁,1,1.9%
見三振,11,10.6%,野選,0,0.0%
犠打,2,1.9%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
