打率.259,試合83,打席157,打数139,得点17,安打36,内安2,内安率5.6,２Ｂ10,３Ｂ2,本塁3,HR勝敗1-2-0,塁打59,打点20,三振40
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
13,0,3,2,0,0,2,0.0,0,0,3,.283,.335,.424,.760
