NOI477.0,GPA.257,RC18.87,RC274.63,XR18.28,XR274.49,RCAA3.95,XR+3.28,RCWIN0.46,XRWIN0.39,BABIP.344
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.076,12.08,3.92,0.165,46.33,0.245,0.676,0.00,35.7%,
