条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.171,49,41,7,1,0,2,9,7,0,1,0
対左打者,0.216,65,51,11,2,0,0,11,10,1,3,0
