アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,19,24.7%,安打,23,69.7%
フライ,24,31.2%,四死球,10,30.3%
空三振,28,36.4%,失策出塁,0,0.0%
見三振,2,2.6%,野選,0,0.0%
犠打,4,5.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
