HQS率-,SQS率-,被打率.240,被BABIP.348,被出塁率.311,被長打率.281,K/BB3.00,K/910.52,BB/93.51,HR/90.00,GO/AO0.79,援護率-,IPR2.33,NHB%37.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.45,66.7%,-1.46,-0.17,-1.33,107,3.1,0,0,25.2,11,10,21,
