防御率3.51,試合27,先発0,救援27,連投(試)0,連投(日)0,勝利2,敗戦2,HLD0,Ｓ1,ＨＰ2,ＳＰ3,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,25.2,110,410,16.0,23,0,30,10,1,0,0,0,11,10,1.29,-
