HQS率59.1%,SQS率63.6%,被打率.248,被BABIP.286,被出塁率.299,被長打率.312,K/BB2.49,K/95.44,BB/92.19,HR/90.35,GO/AO1.15,援護率3.04,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.84,74.3%,2.30,0.27,8.31,517,0.0,160,54,0.0,0,0,0,
