チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,2.21,3,3,0,1,2,0,0,0,0,0,0,20.1,12,1,17,3,1,6,5,0.74,0.167,5.57,-
阪神,2.03,4,4,0,1,2,0,0,0,0,0,0,31.0,21,1,20,7,0,9,7,0.9,0.191,2.25,-
ＤｅＮＡ,1.55,4,4,0,1,2,0,0,0,0,0,0,29.0,21,2,18,2,0,8,5,0.79,0.198,3.48,-
ヤクルト,2.77,2,2,0,1,1,0,0,0,0,0,0,13.0,14,0,8,6,1,4,4,1.54,0.292,3.21,-
中日,3.86,6,6,0,0,6,0,0,0,0,0,0,35.0,48,1,16,13,1,19,15,1.74,0.338,1.66,-
