打率.243,試合123,打席477,打数437,得点40,安打106,内安8,内安率7.5,２Ｂ18,３Ｂ3,本塁11,HR勝敗5-5-1,塁打163,打点62,三振97
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
33,0,2,0,5,2,3,40.0,2,0,6,.288,.296,.373,.669
