条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.204,288,265,54,10,1,4,66,20,1,0,2
対左投手,0.302,189,172,52,8,2,7,31,13,1,0,3
