球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,686,38.9%,146.6,60,106,166,226,48.4%,16.9%,.238,160,38,1,33,9,0
スライダー,291,16.5%,129.1,75,21,49,99,49.8%,43.9%,.145,69,10,1,22,6,1
フォーク,188,10.7%,135.1,55,9,25,72,47.3%,51.4%,.262,42,11,0,16,2,0
チェンジアップ,172,9.8%,124.7,37,10,24,59,41.3%,35.9%,.300,50,15,2,9,1,0
カットボール,131,7.4%,136.8,21,12,22,34,42.0%,24.7%,.311,45,14,4,5,5,0
ツーシーム,84,4.8%,140.5,9,16,11,30,42.9%,23.7%,.364,22,8,1,4,3,1
シュート,65,3.7%,144.4,4,8,16,24,43.1%,12.1%,.143,14,2,0,1,3,0
カーブ,55,3.1%,116.2,9,8,9,19,47.3%,32.1%,.143,14,2,2,4,2,0
スプリット,41,2.3%,137.7,10,0,5,17,36.6%,41.7%,.300,10,3,0,1,2,0
ナックルカーブ,24,1.4%,125.8,8,3,4,7,62.5%,57.1%,.000,3,0,0,1,0,0
縦スライダー,10,0.6%,126.1,2,0,1,5,30.0%,40.0%,.667,3,2,0,1,0,0
スクリュー,6,0.3%,136.5,1,0,1,2,33.3%,25.0%,.000,2,0,0,0,0,0
シンカー,3,0.2%,139.0,1,0,0,1,33.3%,50.0%,1.000,1,1,0,0,0,0
スラーブ,2,0.1%,109.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,2,0.1%,133.5,1,1,0,0,100.0%,100.0%,-,0,0,0,0,0,0
スローボール,2,0.1%,79.0,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,1,0.1%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
