HQS率-,SQS率-,被打率.333,被BABIP.250,被出塁率.455,被長打率.667,K/BB0.00,K/90.00,BB/99.00,HR/94.50,GO/AO1.00,援護率-,IPR0.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
12.24,55.6%,-2.26,-0.26,-2.32,6,1.0,0,0,2.0,3,0,1,
