条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.252,112,103,26,5,1,3,37,7,0,2,0
対左打者,0.17,126,112,19,4,0,3,29,13,0,1,0
