HQS率-,SQS率-,被打率.340,被BABIP.386,被出塁率.357,被長打率.453,K/BB4.50,K/96.39,BB/91.42,HR/90.71,GO/AO0.80,援護率-,IPR1.41,NHB%22.2%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.81,59.1%,-4.29,-0.50,-4.72,38,2.0,0,0,12.2,9,2,7,
