NOI441.9,GPA.237,RC46.20,RC274.59,XR45.66,XR274.53,RCAA8.40,XR+7.41,RCWIN0.97,XRWIN0.86,BABIP.322
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.028,27.43,7.84,0.098,178.50,0.182,0.649,3.64,16.9%,
