打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,17,4,0.235,0,4,1,0,0,0.278
2打席目,17,2,0.118,0,5,1,0,0,0.167
3打席目,14,7,0.5,2,2,1,1,1,0.5
4打席目,12,0,0.0,0,2,1,0,0,0.077
5打席目以上,2,0,0.0,0,0,0,0,0,0.0
