HQS率-,SQS率-,被打率.161,被BABIP.211,被出塁率.319,被長打率.214,K/BB1.31,K/99.37,BB/97.16,HR/90.55,GO/AO2.00,援護率-,IPR2.72,NHB%31.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.87,77.7%,-0.07,-0.01,1.39,59,3.0,0,0,16.1,6,5,13,
