球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,171,58.6%,145.8,19,26,27,75,42.1%,27.1%,0.161,31,5,1,9,11,0
スライダー,106,36.3%,131.2,12,21,16,41,46.2%,27.3%,0.167,24,4,0,8,1,0
フォーク,15,5.1%,135.9,2,1,1,10,26.7%,50.0%,0.0,1,0,0,0,1,0
