打率.234,試合47,打席75,打数64,得点4,安打15,内安2,内安率13.3,２Ｂ1,３Ｂ0,本塁1,HR勝敗1-0-0,塁打19,打点6,三振17
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
2,1,0,9,0,0,0,-,0,2,2,.333,.258,.297,.554
