左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
36.2% (17),36.2% (17),36.2% (17),19.1% (9),19.1% (9),19.1% (9),44.7% (21),44.7% (21),44.7% (21)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
28.6% (4),100.0% (1),37.5% (12),28.6% (4),0.0% (0),15.6% (5),42.9% (6),0.0% (0),46.9% (15)
