HQS率26.7%,SQS率40.0%,被打率.240,被BABIP.281,被出塁率.282,被長打率.357,K/BB4.11,K/97.26,BB/91.77,HR/90.84,GO/AO0.72,援護率2.49,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.02,75.5%,-0.91,-0.11,3.92,310,0.0,105,29,0.0,0,0,0,
