HQS率0.0%,SQS率0.0%,被打率.176,被BABIP.167,被出塁率.333,被長打率.412,K/BB1.00,K/97.20,BB/97.20,HR/91.80,GO/AO1.00,援護率9.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.17,71.4%,-1.18,-0.14,-1.35,25,0.0,5,5,0.0,0,0,0,
