条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.274,263,234,64,11,0,1,52,24,2,3,0
対左打者,0.247,303,271,67,10,1,2,67,23,3,2,4
