HQS率26.1%,SQS率26.1%,被打率.259,被BABIP.331,被出塁率.326,被長打率.323,K/BB2.53,K/98.26,BB/93.26,HR/90.21,GO/AO1.07,援護率2.65,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.40,75.5%,0.19,0.02,0.79,439,0.0,139,41,0.0,0,0,0,
