NOI74.1,GPA.039,RC-1.08,RC27-1.72,XR-0.91,XR27-1.45,RCAA-2.86,XR+-2.71,RCWIN-0.33,XRWIN-0.31,BABIP.100
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,2.25,-0.000,-,0.056,0.118,0.00,44.4%,
