球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,24,40.7%,148.2,8,3,6,4,70.8%,47.1%,.000,9,0,0,6,0,0
スライダー,8,13.6%,130.6,4,2,1,1,87.5%,80.0%,.000,1,0,0,1,0,0
チェンジアップ,7,11.9%,127.5,2,0,1,1,42.9%,33.3%,.000,3,0,0,0,0,0
カットボール,7,11.9%,140.5,2,2,0,2,57.1%,66.7%,.000,1,0,0,0,0,0
フォーク,5,8.5%,136.2,1,1,0,3,40.0%,100.0%,.000,1,0,0,1,0,0
スプリット,4,6.8%,135.0,1,0,1,1,50.0%,33.3%,1.000,1,1,0,0,0,0
ツーシーム,3,5.1%,135.5,0,0,0,1,0.0%,0.0%,.000,2,0,0,0,0,0
カーブ,1,1.7%,121.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
