打率.233,試合75,打席132,打数116,得点9,安打27,内安2,内安率7.4,２Ｂ4,３Ｂ2,本塁1,HR勝敗1-0-0,塁打38,打点11,三振19
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,0,4,2,0,1,0,100.0,1,0,2,.346,.315,.328,.643
