NOI424.6,GPA.224,RC12.61,RC273.66,XR12.52,XR273.63,RCAA0.06,XR+-0.09,RCWIN0.01,XRWIN-0.01,BABIP.271
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.083,13.20,6.95,0.095,116.00,0.190,0.582,1.00,22.7%,
