NOI222.2,GPA.117,RC0.04,RC270.10,XR0.10,XR270.27,RCAA-1.14,XR+-1.10,RCWIN-0.13,XRWIN-0.13,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,-0.000,-,-,-0.000,-,0.000,0.200,-,0.0%,
