左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
36.4% (4),36.4% (4),36.4% (4),9.1% (1),9.1% (1),9.1% (1),54.5% (6),54.5% (6),54.5% (6)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.0% (1),- (0),33.3% (3),0.0% (0),- (0),11.1% (1),50.0% (1),- (0),55.6% (5)
